,time,time_x,P_Grid,P_BTMS,E_BTMS,E_Shift,P_Charge,P_Shift,P_BTMS_Ch,P_BTMS_DCh,t_wait,"param: btms size, a,b,c",d
84,23203.0,23203,989.1909760237295,623.488456037064,1092.1953763101235,3.868341177118747e-10,365.7025199866612,-4.3067741007569355e-12,623.4884560577088,-2.0644943104958032e-08,1.4845642873329152e-14,0.0,10.0
85,23263.0,23263,1029.9716628359363,595.6163680229905,1102.0672768640084,3.8676243259502015e-10,434.35529481286534,-8.048061796748443e-11,595.6163680436262,-2.0635740630615765e-08,1.6042547991522073e-15,0.0,10.0
86,23323.0,23323,967.7277062590028,661.71345442182,1111.4978693576704,3.8542118732149625e-10,306.0142518372246,4.165596433285162e-11,661.7134544424058,-2.058583891315274e-08,1.1360629645242812e-14,0.0,10.0
87,23383.0,23383,953.6863380362862,686.275192763332,1121.9749990526475,3.861155445297781e-10,267.4111452729781,2.4015754072420677e-11,686.275192783873,-2.0540895897979512e-08,1.3911920639261562e-14,0.0,10.0
88,23443.0,23443,985.9346857119473,667.7252646927268,1132.8410229380315,3.865158954966172e-10,318.2094210192241,3.5147405947657234e-12,667.7252647132668,-2.054007824776238e-08,1.3656263333225101e-14,0.0,10.0
89,23503.0,23503,1015.7974144068357,649.1530434839119,1143.4133396289646,3.8657456618805755e-10,366.64437092291234,-1.1449304055427729e-11,649.1530435044523,-2.0540430990303672e-08,1.1625069418455643e-14,0.0,10.0
90,23563.0,23563,1020.6938136584569,655.2877652585236,1153.691596150758,3.8638383941102627e-10,365.4060483999155,-1.7744293184091005e-11,655.2877652790384,-2.0514822711921572e-08,9.066965880835867e-15,0.0,10.0
91,23623.0,23623,990.1769538664936,697.8916599002572,1164.0669857673163,3.860881961964571e-10,292.28529396628863,5.2245780174086416e-11,697.891659920742,-2.0484715329159455e-08,1.8381575697147233e-14,0.0,10.0
92,23683.0,23683,1029.6299312684328,671.3608595352536,1175.1169370490354,3.869590502105535e-10,358.26907173312725,-5.195145635904803e-11,671.3608595557099,-2.0456287473798944e-08,7.921762905881247e-15,0.0,10.0
93,23743.0,23743,974.0011625984876,747.6731702095034,1185.7468173249752,3.8609328739308946e-10,226.32799238900066,1.6516505267186605e-11,747.6731702298871,-2.038360651020467e-08,1.249738170508516e-14,0.0,10.0
